# model,batch_size, offpolicy_iterations, avg_result
1.000000000000000000e+00,3.200000000000000000e+01,2.560000000000000000e+02,-5.129504381448242611e+02
1.000000000000000000e+00,6.400000000000000000e+01,2.560000000000000000e+02,1.164067146215565458e+02
1.000000000000000000e+00,1.280000000000000000e+02,2.560000000000000000e+02,-5.110000000000000000e+02
1.000000000000000000e+00,2.560000000000000000e+02,2.560000000000000000e+02,-4.988940503718081345e+02
1.000000000000000000e+00,5.120000000000000000e+02,2.560000000000000000e+02,-4.777523545440582780e+02
1.000000000000000000e+00,1.024000000000000000e+03,2.560000000000000000e+02,-5.173999999999999773e+02
1.000000000000000000e+00,2.048000000000000000e+03,2.560000000000000000e+02,-5.041217783346201600e+02
1.000000000000000000e+00,4.096000000000000000e+03,2.560000000000000000e+02,-4.975126856402204680e+02
1.000000000000000000e+00,3.200000000000000000e+01,5.120000000000000000e+02,-5.200000000000000000e+02
1.000000000000000000e+00,6.400000000000000000e+01,5.120000000000000000e+02,9.475747029514899396e+02
1.000000000000000000e+00,1.280000000000000000e+02,5.120000000000000000e+02,-3.243102262533536759e+02
1.000000000000000000e+00,2.560000000000000000e+02,5.120000000000000000e+02,-5.200000000000000000e+02
1.000000000000000000e+00,5.120000000000000000e+02,5.120000000000000000e+02,-5.150000000000000000e+02
1.000000000000000000e+00,1.024000000000000000e+03,5.120000000000000000e+02,-5.188999999999999773e+02
1.000000000000000000e+00,2.048000000000000000e+03,5.120000000000000000e+02,-5.138999999999999773e+02
1.000000000000000000e+00,4.096000000000000000e+03,5.120000000000000000e+02,-5.182999999999999545e+02
1.000000000000000000e+00,3.200000000000000000e+01,1.024000000000000000e+03,3.328414740344274492e+02
1.000000000000000000e+00,6.400000000000000000e+01,1.024000000000000000e+03,-5.197999999999999545e+02
1.000000000000000000e+00,1.280000000000000000e+02,1.024000000000000000e+03,-5.201000000000000227e+02
1.000000000000000000e+00,2.560000000000000000e+02,1.024000000000000000e+03,-2.407364789152963931e+04
1.000000000000000000e+00,5.120000000000000000e+02,1.024000000000000000e+03,-5.162999999999999545e+02
1.000000000000000000e+00,1.024000000000000000e+03,1.024000000000000000e+03,-5.200000000000000000e+02
1.000000000000000000e+00,2.048000000000000000e+03,1.024000000000000000e+03,-4.757797208975038643e+02
1.000000000000000000e+00,4.096000000000000000e+03,1.024000000000000000e+03,-5.200000000000000000e+02
